localAuthority,authorityName,industryCode,industryName,observation
E06000001,Hartlepool,7,"O, P, Q Public administration, education and health",12749
E06000002,Middlesbrough,7,"O, P, Q Public administration, education and health",20648
E06000003,Redcar and Cleveland,7,"O, P, Q Public administration, education and health",19208
E06000004,Stockton-on-Tees,7,"O, P, Q Public administration, education and health",30191
E06000005,Darlington,7,"O, P, Q Public administration, education and health",16364
E06000006,Halton,7,"O, P, Q Public administration, education and health",16364
E06000007,Warrington,7,"O, P, Q Public administration, education and health",28826
E06000008,Blackburn with Darwen,7,"O, P, Q Public administration, education and health",21748
E06000009,Blackpool,7,"O, P, Q Public administration, education and health",21609
E06000010,"Kingston upon Hull, City of",7,"O, P, Q Public administration, education and health",33585
E06000011,East Riding of Yorkshire,7,"O, P, Q Public administration, education and health",50408
E06000012,North East Lincolnshire,7,"O, P, Q Public administration, education and health",19103
E06000013,North Lincolnshire,7,"O, P, Q Public administration, education and health",20860
E06000014,York,7,"O, P, Q Public administration, education and health",33954
E06000015,Derby,7,"O, P, Q Public administration, education and health",35881
E06000016,Leicester,7,"O, P, Q Public administration, education and health",44904
E06000017,Rutland,7,"O, P, Q Public administration, education and health",6624
E06000018,Nottingham,7,"O, P, Q Public administration, education and health",43550
E06000019,"Herefordshire, County of",7,"O, P, Q Public administration, education and health",25799
E06000020,Telford and Wrekin,7,"O, P, Q Public administration, education and health",25759
E06000021,Stoke-on-Trent,7,"O, P, Q Public administration, education and health",32559
E06000022,Bath and North East Somerset,7,"O, P, Q Public administration, education and health",29699
E06000023,"Bristol, City of",7,"O, P, Q Public administration, education and health",78413
E06000024,North Somerset,7,"O, P, Q Public administration, education and health",31093
E06000025,South Gloucestershire,7,"O, P, Q Public administration, education and health",45723
E06000026,Plymouth,7,"O, P, Q Public administration, education and health",46342
E06000027,Torbay,7,"O, P, Q Public administration, education and health",20123
E06000030,Swindon,7,"O, P, Q Public administration, education and health",27771
E06000031,Peterborough,7,"O, P, Q Public administration, education and health",26492
E06000032,Luton,7,"O, P, Q Public administration, education and health",26944
E06000033,Southend-on-Sea,7,"O, P, Q Public administration, education and health",25204
E06000034,Thurrock,7,"O, P, Q Public administration, education and health",21310
E06000035,Medway,7,"O, P, Q Public administration, education and health",39898
E06000036,Bracknell Forest,7,"O, P, Q Public administration, education and health",17699
E06000037,West Berkshire,7,"O, P, Q Public administration, education and health",21994
E06000038,Reading,7,"O, P, Q Public administration, education and health",24575
E06000039,Slough,7,"O, P, Q Public administration, education and health",18224
E06000040,Windsor and Maidenhead,7,"O, P, Q Public administration, education and health",18812
E06000041,Wokingham,7,"O, P, Q Public administration, education and health",23787
E06000042,Milton Keynes,7,"O, P, Q Public administration, education and health",36094
E06000043,Brighton and Hove,7,"O, P, Q Public administration, education and health",46281
E06000044,Portsmouth,7,"O, P, Q Public administration, education and health",34647
